id_batiment,annee,mois,consommation_elec_kwh,consommation_gaz_kwh,consommation_totale_kwh,temperature_moy_c,dju_chauffage
B003,2023,1,6800,32000,38800,4.8,405
B003,2023,2,6300,29000,35300,5.5,358
B003,2023,3,5700,21000,26700,9.0,258
B003,2023,4,5000,9000,14000,13.5,105
B003,2023,5,4400,2500,6900,18.2,28
B003,2023,6,4200,0,4200,23.2,0
B003,2023,7,4000,0,4000,26.2,0
B003,2023,8,4000,0,4000,25.8,0
B003,2023,9,4400,3000,7400,19.8,15
B003,2023,10,5200,14500,19700,13.5,100
B003,2023,11,6000,25000,31000,7.8,305
B003,2023,12,6500,30000,36500,4.5,392
B007,2021,1,3800,14500,18300,4.5,395
B007,2021,2,3600,13000,16600,5.2,348
B007,2021,3,3200,9000,12200,9.5,228
B007,2021,4,2800,3000,5800,14.0,92
B007,2021,5,2500,500,3000,18.5,22
B007,2021,6,2400,0,2400,22.5,0
B007,2021,7,2300,0,2300,25.0,0
B007,2021,8,2300,0,2300,24.5,0
B007,2021,9,2500,800,3300,20.0,12
B007,2021,10,3000,7500,10500,13.8,98
B007,2021,11,3500,12000,15500,7.5,322
B007,2021,12,3800,14000,17800,4.8,388
B007,2022,1,3900,15000,18900,4.2,408
B007,2022,2,3700,13500,17200,5.0,362
B007,2022,3,3300,9500,12800,9.0,242
B007,2022,4,2900,3500,6400,13.5,102
B007,2022,5,2600,700,3300,18.0,28
B007,2022,6,2500,0,2500,23.0,0
B007,2022,7,2400,0,2400,25.5,0
B007,2022,8,2400,0,2400,25.0,0
B007,2022,9,2600,1000,3600,19.5,18
B007,2022,10,3100,8000,11100,13.2,108
B007,2022,11,3600,12500,16100,7.0,338
B007,2022,12,3900,14500,18400,4.5,402
B007,2023,1,4000,16000,20000,3.8,422
B007,2023,2,3800,14500,18300,4.8,375
B007,2023,3,3400,10000,13400,8.5,258
B007,2023,4,3000,4000,7000,13.0,112
B007,2023,5,2700,800,3500,17.8,32
B007,2023,6,2600,0,2600,22.8,0
B007,2023,7,2500,0,2500,25.2,0
B007,2023,8,2500,0,2500,24.8,0
B007,2023,9,2700,1200,3900,19.2,22
B007,2023,10,3200,8500,11700,13.0,115
B007,2023,11,3700,13000,16700,6.8,348
B007,2023,12,4000,15500,19500,4.2,415
B009,2021,1,8200,0,8200,4.8,372
B009,2021,2,7800,0,7800,5.8,325
B009,2021,3,7000,0,7000,9.8,212
B009,2021,4,6200,0,6200,14.5,78
B009,2021,5,5800,0,5800,19.0,12
B009,2021,6,5500,0,5500,22.8,0
B009,2021,7,5600,0,5600,25.5,0
B009,2021,8,5500,0,5500,25.0,0
B009,2021,9,5800,0,5800,20.2,8
B009,2021,10,6500,0,6500,14.5,82
B009,2021,11,7500,0,7500,8.0,298
B009,2021,12,8000,0,8000,5.0,358
B009,2022,1,8100,0,8100,4.5,382
B009,2022,2,7700,0,7700,5.5,338
B009,2022,3,6900,0,6900,9.5,225
B009,2022,4,6100,0,6100,14.2,85
B009,2022,5,5700,0,5700,18.8,15
B009,2022,6,5400,0,5400,23.0,0
B009,2022,7,5500,0,5500,25.8,0
B009,2022,8,5400,0,5400,25.2,0
B009,2022,9,5700,0,5700,20.0,10
B009,2022,10,6400,0,6400,14.2,88
B009,2022,11,7400,0,7400,7.8,305
B009,2022,12,7900,0,7900,4.8,368
B009,2023,1,7900,0,7900,5.0,368
B009,2023,2,7500,0,7500,6.0,318
B009,2023,3,6700,0,6700,10.2,198
B009,2023,4,5900,0,5900,15.0,68
B009,2023,5,5500,0,5500,19.5,8
B009,2023,6,5200,0,5200,23.2,0
B009,2023,7,5300,0,5300,25.8,0
B009,2023,8,5200,0,5200,25.2,0
B009,2023,9,5500,0,5500,20.5,6
B009,2023,10,6200,0,6200,14.8,78
B009,2023,11,7200,0,7200,8.2,288
B009,2023,12,7700,0,7700,5.2,348
B011,2021,1,18500,0,18500,3.2,412
B011,2021,2,17200,0,17200,4.1,368
B011,2021,3,15800,0,15800,8.5,248
B011,2021,4,14200,0,14200,13.2,105
B011,2021,5,13500,0,13500,17.8,32
B011,2021,6,14800,0,14800,21.5,0
B011,2021,7,16200,0,16200,24.2,0
B011,2021,8,15900,0,15900,23.8,0
B011,2021,9,14500,0,14500,19.1,18
B011,2021,10,15200,0,15200,13.5,98
B011,2021,11,17000,0,17000,7.2,310
B011,2021,12,18200,0,18200,3.8,395
B011,2022,1,18200,0,18200,2.8,428
B011,2022,2,16900,0,16900,3.9,382
B011,2022,3,15500,0,15500,7.8,268
B011,2022,4,13900,0,13900,12.5,118
B011,2022,5,13200,0,13200,17.1,38
B011,2022,6,14500,0,14500,22.0,0
B011,2022,7,15900,0,15900,25.1,0
B011,2022,8,15600,0,15600,24.5,0
B011,2022,9,14200,0,14200,18.8,22
B011,2022,10,14900,0,14900,12.9,112
B011,2022,11,16700,0,16700,6.5,328
B011,2022,12,17900,0,17900,3.2,412
B011,2023,1,17800,0,17800,3.5,398
B011,2023,2,16500,0,16500,4.5,352
B011,2023,3,15200,0,15200,9.2,228
B011,2023,4,13600,0,13600,14.0,88
B011,2023,5,12900,0,12900,18.5,18
B011,2023,6,14200,0,14200,22.2,0
B011,2023,7,15600,0,15600,24.8,0
B011,2023,8,15300,0,15300,24.0,0
B011,2023,9,13900,0,13900,19.5,12
B011,2023,10,14600,0,14600,14.2,88
B011,2023,11,16400,0,16400,7.8,288
B011,2023,12,17600,0,17600,4.2,372
B016,2021,1,9200,32000,41200,5.5,378
B016,2021,2,8600,28500,37100,6.2,332
B016,2021,3,7800,20000,27800,10.0,225
B016,2021,4,6900,7500,14400,14.5,85
B016,2021,5,6400,1500,7900,19.0,18
B016,2021,6,6200,0,6200,22.8,0
B016,2021,7,6400,0,6400,25.2,0
B016,2021,8,6300,0,6300,24.8,0
B016,2021,9,6500,2500,9000,19.8,12
B016,2021,10,7200,15000,22200,14.0,88
B016,2021,11,8300,26500,34800,7.8,312
B016,2021,12,9000,31000,40000,5.0,368
B016,2022,1,9400,33500,42900,5.0,395
B016,2022,2,8800,30000,38800,5.8,348
B016,2022,3,8000,21500,29500,9.5,242
B016,2022,4,7100,8500,15600,14.0,98
B016,2022,5,6600,2000,8600,18.5,22
B016,2022,6,6400,0,6400,23.2,0
B016,2022,7,6600,0,6600,25.8,0
B016,2022,8,6500,0,6500,25.2,0
B016,2022,9,6700,3000,9700,19.5,15
B016,2022,10,7400,16000,23400,13.5,98
B016,2022,11,8500,28000,36500,7.2,325
B016,2022,12,9200,32500,41700,4.5,385
B016,2023,1,7800,27000,34800,5.2,378
B016,2023,2,7200,23500,30700,6.0,328
B016,2023,3,6600,17000,23600,9.8,218
B016,2023,4,5900,6000,11900,14.8,75
B016,2023,5,5500,1000,6500,19.5,12
B016,2023,6,5300,0,5300,23.5,0
B016,2023,7,5500,0,5500,26.0,0
B016,2023,8,5400,0,5400,25.5,0
B016,2023,9,5600,1800,7400,20.2,8
B016,2023,10,6200,12000,18200,14.5,82
B016,2023,11,7200,22000,29200,8.0,295
B016,2023,12,7700,26000,33700,5.0,362
B002,2021,1,8500,42000,50500,4.2,388
B002,2021,2,7900,37000,44900,5.0,342
B002,2021,3,7100,26000,33100,9.2,228
B002,2021,4,6200,10000,16200,13.8,98
B002,2021,5,5800,2500,8300,18.5,22
B002,2021,6,5500,0,5500,22.5,0
B002,2021,7,5700,0,5700,25.0,0
B002,2021,8,5600,0,5600,24.5,0
B002,2021,9,5900,3000,8900,19.5,15
B002,2021,10,6500,18000,24500,13.2,102
B002,2021,11,7700,34000,41700,7.5,318
B002,2021,12,8300,40000,48300,4.5,375
B002,2022,1,8700,44000,52700,3.8,402
B002,2022,2,8100,39000,47100,4.8,355
B002,2022,3,7300,28000,35300,8.5,245
B002,2022,4,6400,11500,17900,13.2,112
B002,2022,5,6000,3000,9000,18.0,28
B002,2022,6,5700,0,5700,23.0,0
B002,2022,7,5900,0,5900,25.5,0
B002,2022,8,5800,0,5800,25.0,0
B002,2022,9,6100,3500,9600,19.2,18
B002,2022,10,6700,19500,26200,12.8,115
B002,2022,11,7900,36000,43900,7.0,332
B002,2022,12,8500,42000,50500,4.2,388
B002,2023,1,8200,40000,48200,4.0,395
B002,2023,2,7600,35000,42600,5.2,345
B002,2023,3,6800,24000,30800,9.8,215
B002,2023,4,5900,9000,14900,14.2,88
B002,2023,5,5500,2000,7500,19.0,18
B002,2023,6,5200,0,5200,23.2,0
B002,2023,7,5400,0,5400,25.2,0
B002,2023,8,5300,0,5300,24.8,0
B002,2023,9,5600,2500,8100,19.8,12
B002,2023,10,6200,16000,22200,13.5,98
B002,2023,11,7400,32000,39400,8.0,305
B002,2023,12,8000,38000,46000,4.8,378
B004,2021,1,15000,62000,77000,5.2,378
B004,2021,2,14000,55000,69000,6.0,332
B004,2021,3,12500,38000,50500,9.5,225
B004,2021,4,11000,15000,26000,13.8,88
B004,2021,5,10500,3000,13500,18.2,22
B004,2021,6,10000,0,10000,22.0,0
B004,2021,7,10200,0,10200,24.5,0
B004,2021,8,10100,0,10100,24.0,0
B004,2021,9,10500,4000,14500,19.0,12
B004,2021,10,11500,28000,39500,13.5,98
B004,2021,11,13500,52000,65500,7.8,312
B004,2021,12,14800,60000,74800,5.5,368
B004,2022,1,15500,65000,80500,4.8,395
B004,2022,2,14500,58000,72500,5.5,348
B004,2022,3,13000,40000,53000,9.0,242
B004,2022,4,11500,17000,28500,13.2,102
B004,2022,5,11000,3500,14500,17.8,28
B004,2022,6,10500,0,10500,22.5,0
B004,2022,7,10700,0,10700,25.0,0
B004,2022,8,10600,0,10600,24.5,0
B004,2022,9,11000,4500,15500,18.5,15
B004,2022,10,12000,30000,42000,13.0,108
B004,2022,11,14000,55000,69000,7.2,325
B004,2022,12,15200,63000,78200,5.0,382
B004,2023,1,14500,60000,74500,5.0,378
B004,2023,2,13500,53000,66500,6.2,328
B004,2023,3,12000,35000,47000,10.2,215
B004,2023,4,10500,13000,23500,14.5,78
B004,2023,5,10000,2500,12500,19.0,15
B004,2023,6,9500,0,9500,23.0,0
B004,2023,7,9700,0,9700,25.2,0
B004,2023,8,9600,0,9600,24.8,0
B004,2023,9,10000,3500,13500,19.5,10
B004,2023,10,11000,26000,37000,14.0,88
B004,2023,11,13000,50000,63000,8.0,295
B004,2023,12,14200,58000,72200,5.5,368
B005,2021,1,9500,0,9500,8.5,278
B005,2021,2,9000,0,9000,9.2,238
B005,2021,3,8200,0,8200,12.5,158
B005,2021,4,7500,0,7500,16.0,58
B005,2021,5,7200,0,7200,20.0,5
B005,2021,6,8500,0,8500,24.0,0
B005,2021,7,10500,0,10500,27.5,0
B005,2021,8,10800,0,10800,27.0,0
B005,2021,9,9200,0,9200,22.5,0
B005,2021,10,8000,0,8000,17.5,48
B005,2021,11,8500,0,8500,12.5,158
B005,2021,12,9200,0,9200,9.0,248
B005,2022,1,9700,0,9700,8.0,292
B005,2022,2,9200,0,9200,8.8,252
B005,2022,3,8400,0,8400,12.0,168
B005,2022,4,7700,0,7700,15.5,68
B005,2022,5,7400,0,7400,19.5,8
B005,2022,6,8800,0,8800,24.5,0
B005,2022,7,10800,0,10800,28.0,0
B005,2022,8,11100,0,11100,27.5,0
B005,2022,9,9400,0,9400,23.0,0
B005,2022,10,8200,0,8200,17.0,55
B005,2022,11,8700,0,8700,12.0,168
B005,2022,12,9400,0,9400,8.5,262
B005,2023,1,9300,0,9300,8.8,272
B005,2023,2,8800,0,8800,9.5,228
B005,2023,3,8000,0,8000,13.0,148
B005,2023,4,7300,0,7300,16.5,48
B005,2023,5,7000,0,7000,20.5,3
B005,2023,6,8300,0,8300,24.8,0
B005,2023,7,10200,0,10200,28.2,0
B005,2023,8,10500,0,10500,27.8,0
B005,2023,9,9000,0,9000,23.2,0
B005,2023,10,7800,0,7800,17.8,42
B005,2023,11,8300,0,8300,12.8,148
B005,2023,12,9000,0,9000,9.2,238
B006,2021,1,4200,38000,42200,3.5,425
B006,2021,2,3900,34000,37900,4.2,378
B006,2021,3,3500,24000,27500,8.2,255
B006,2021,4,3000,8000,11000,12.8,112
B006,2021,5,2800,1500,4300,17.5,35
B006,2021,6,2700,0,2700,21.5,0
B006,2021,7,2600,0,2600,24.5,0
B006,2021,8,2600,0,2600,24.0,0
B006,2021,9,2800,2000,4800,19.0,18
B006,2021,10,3200,18000,21200,12.5,118
B006,2021,11,3800,32000,35800,6.5,335
B006,2021,12,4100,37000,41100,4.0,412
B006,2022,1,4400,40000,44400,3.0,442
B006,2022,2,4100,36000,40100,3.8,395
B006,2022,3,3700,26000,29700,7.8,272
B006,2022,4,3200,9000,12200,12.2,125
B006,2022,5,2900,2000,4900,17.0,42
B006,2022,6,2800,0,2800,22.0,0
B006,2022,7,2700,0,2700,25.0,0
B006,2022,8,2700,0,2700,24.5,0
B006,2022,9,2900,2500,5400,18.5,22
B006,2022,10,3300,19500,22800,12.0,128
B006,2022,11,3900,34000,37900,6.0,348
B006,2022,12,4200,38500,42700,3.5,428
B006,2023,1,4600,42000,46600,2.8,458
B006,2023,2,4300,38000,42300,3.5,412
B006,2023,3,3900,28000,31900,7.2,288
B006,2023,4,3400,10000,13400,11.8,138
B006,2023,5,3100,2500,5600,16.5,48
B006,2023,6,3000,0,3000,21.8,0
B006,2023,7,2900,0,2900,25.2,0
B006,2023,8,2900,0,2900,24.8,0
B006,2023,9,3100,3000,6100,18.2,28
B006,2023,10,3500,21000,24500,11.5,138
B006,2023,11,4100,36000,40100,5.8,362
B006,2023,12,4400,40500,44900,3.2,445
B008,2021,1,58000,0,58000,8.5,278
B008,2021,2,55000,0,55000,9.2,238
B008,2021,3,52000,0,52000,13.0,148
B008,2021,4,49000,0,49000,17.0,48
B008,2021,5,48000,0,48000,21.0,5
B008,2021,6,55000,0,55000,25.0,0
B008,2021,7,62000,0,62000,28.5,0
B008,2021,8,63000,0,63000,28.0,0
B008,2021,9,56000,0,56000,23.5,0
B008,2021,10,50000,0,50000,18.0,42
B008,2021,11,52000,0,52000,12.8,155
B008,2021,12,57000,0,57000,9.0,252
B008,2022,1,59000,0,59000,8.0,292
B008,2022,2,56000,0,56000,8.8,252
B008,2022,3,53000,0,53000,12.5,158
B008,2022,4,50000,0,50000,16.5,55
B008,2022,5,49000,0,49000,20.5,8
B008,2022,6,56000,0,56000,25.5,0
B008,2022,7,63000,0,63000,29.0,0
B008,2022,8,64000,0,64000,28.5,0
B008,2022,9,57000,0,57000,24.0,0
B008,2022,10,51000,0,51000,17.5,48
B008,2022,11,53000,0,53000,12.2,162
B008,2022,12,58000,0,58000,8.5,272
B008,2023,1,57000,0,57000,8.8,268
B008,2023,2,54000,0,54000,9.5,225
B008,2023,3,51000,0,51000,13.5,138
B008,2023,4,48000,0,48000,17.5,42
B008,2023,5,47000,0,47000,21.5,3
B008,2023,6,54000,0,54000,25.8,0
B008,2023,7,61000,0,61000,29.2,0
B008,2023,8,62000,0,62000,28.8,0
B008,2023,9,55000,0,55000,24.2,0
B008,2023,10,49000,0,49000,18.2,38
B008,2023,11,51000,0,51000,12.8,148
B008,2023,12,56000,0,56000,9.2,242
B010,2021,1,14500,62000,76500,4.0,398
B010,2021,2,13500,55000,68500,4.8,352
B010,2021,3,12000,38000,50000,8.8,238
B010,2021,4,10500,14000,24500,13.5,102
B010,2021,5,4000,1000,5000,18.2,22
B010,2021,6,3500,0,3500,22.0,0
B010,2021,7,3200,0,3200,25.0,0
B010,2021,8,3200,0,3200,24.5,0
B010,2021,9,9000,3500,12500,19.2,18
B010,2021,10,11000,28000,39000,13.2,108
B010,2021,11,13000,52000,65000,7.2,322
B010,2021,12,14200,60000,74200,4.5,388
B010,2022,1,15000,65000,80000,3.5,415
B010,2022,2,14000,58000,72000,4.2,368
B010,2022,3,12500,40000,52500,8.2,255
B010,2022,4,11000,15500,26500,13.0,115
B010,2022,5,4200,1200,5400,17.8,28
B010,2022,6,3700,0,3700,22.5,0
B010,2022,7,3400,0,3400,25.5,0
B010,2022,8,3400,0,3400,25.0,0
B010,2022,9,9500,4000,13500,18.8,22
B010,2022,10,11500,30000,41500,12.8,118
B010,2022,11,13500,55000,68500,6.8,335
B010,2022,12,14700,63000,77700,4.0,402
B010,2023,1,14200,60000,74200,4.0,398
B010,2023,2,13200,53000,66200,5.0,348
B010,2023,3,11800,36000,47800,9.2,222
B010,2023,4,10200,12000,22200,14.0,92
B010,2023,5,3800,800,4600,18.8,18
B010,2023,6,3300,0,3300,22.8,0
B010,2023,7,3100,0,3100,25.8,0
B010,2023,8,3100,0,3100,25.2,0
B010,2023,9,8800,3000,11800,19.5,15
B010,2023,10,10800,25000,35800,13.5,102
B010,2023,11,12800,50000,62800,7.5,308
B010,2023,12,14000,58000,72000,4.5,382
B012,2021,1,22000,52000,74000,8.5,278
B012,2021,2,21000,47000,68000,9.5,238
B012,2021,3,20000,35000,55000,13.0,152
B012,2021,4,19000,15000,34000,17.5,48
B012,2021,5,19500,5000,24500,21.5,5
B012,2021,6,20500,0,20500,25.5,0
B012,2021,7,21500,0,21500,28.5,0
B012,2021,8,21200,0,21200,28.0,0
B012,2021,9,20000,4000,24000,23.0,0
B012,2021,10,19500,18000,37500,17.5,52
B012,2021,11,20500,42000,62500,12.0,162
B012,2021,12,21500,50000,71500,9.0,255
B012,2022,1,22500,54000,76500,8.0,292
B012,2022,2,21500,49000,70500,9.0,252
B012,2022,3,20500,37000,57500,12.5,165
B012,2022,4,19500,17000,36500,17.0,55
B012,2022,5,20000,5500,25500,21.0,8
B012,2022,6,21000,0,21000,26.0,0
B012,2022,7,22000,0,22000,29.0,0
B012,2022,8,21700,0,21700,28.5,0
B012,2022,9,20500,4500,25000,23.5,0
B012,2022,10,20000,19500,39500,17.0,58
B012,2022,11,21000,44000,65000,11.5,175
B012,2022,12,22000,52000,74000,8.5,272
B012,2023,1,21800,51000,72800,8.8,278
B012,2023,2,20800,46000,66800,9.8,235
B012,2023,3,19800,33000,52800,13.5,142
B012,2023,4,18800,14000,32800,18.0,42
B012,2023,5,19300,4500,23800,22.0,3
B012,2023,6,20300,0,20300,26.2,0
B012,2023,7,21300,0,21300,29.2,0
B012,2023,8,21000,0,21000,28.8,0
B012,2023,9,19800,3500,23300,23.5,0
B012,2023,10,19300,17000,36300,18.0,48
B012,2023,11,20300,41000,61300,12.2,158
B012,2023,12,21300,49000,70300,9.2,248
B013,2021,1,20000,88000,108000,4.8,378
B013,2021,2,18500,78000,96500,5.5,332
B013,2021,3,16500,55000,71500,9.2,228
B013,2021,4,14500,22000,36500,13.5,98
B013,2021,5,13500,4500,18000,18.0,22
B013,2021,6,13000,0,13000,22.0,0
B013,2021,7,13200,0,13200,24.5,0
B013,2021,8,13100,0,13100,24.0,0
B013,2021,9,13500,6000,19500,19.0,15
B013,2021,10,15000,38000,53000,13.0,108
B013,2021,11,18000,72000,90000,7.5,318
B013,2021,12,19500,85000,104500,5.0,368
B013,2022,1,20500,92000,112500,4.2,395
B013,2022,2,19000,82000,101000,5.0,348
B013,2022,3,17000,58000,75000,8.8,245
B013,2022,4,15000,24000,39000,13.0,112
B013,2022,5,14000,5000,19000,17.5,28
B013,2022,6,13500,0,13500,22.5,0
B013,2022,7,13700,0,13700,25.0,0
B013,2022,8,13600,0,13600,24.5,0
B013,2022,9,14000,6500,20500,18.5,18
B013,2022,10,15500,40000,55500,12.5,118
B013,2022,11,18500,75000,93500,7.0,332
B013,2022,12,20000,89000,109000,4.5,382
B013,2023,1,19500,85000,104500,5.0,368
B013,2023,2,18000,75000,93000,5.8,318
B013,2023,3,16000,52000,68000,9.8,215
B013,2023,4,14000,20000,34000,14.2,88
B013,2023,5,13000,4000,17000,18.5,18
B013,2023,6,12500,0,12500,22.8,0
B013,2023,7,12700,0,12700,25.2,0
B013,2023,8,12600,0,12600,24.8,0
B013,2023,9,13000,5500,18500,19.5,12
B013,2023,10,14500,35000,49500,14.0,92
B013,2023,11,17500,68000,85500,8.0,298
B013,2023,12,19000,82000,101000,5.2,362
B014,2021,1,2200,10500,12700,6.0,355
B014,2021,2,2000,9200,11200,6.8,308
B014,2021,3,1800,6500,8300,10.5,215
B014,2021,4,1500,2000,3500,15.2,82
B014,2021,5,700,200,900,19.8,12
B014,2021,6,600,0,600,23.5,0
B014,2021,7,500,0,500,26.5,0
B014,2021,8,500,0,500,26.0,0
B014,2021,9,800,400,1200,21.2,8
B014,2021,10,1200,4500,5700,15.0,88
B014,2021,11,1900,8500,10400,9.0,282
B014,2021,12,2100,10000,12100,6.5,342
B014,2022,1,2300,11000,13300,5.5,372
B014,2022,2,2100,9700,11800,6.2,325
B014,2022,3,1900,7000,8900,10.0,228
B014,2022,4,1600,2200,3800,14.8,92
B014,2022,5,750,250,1000,19.2,15
B014,2022,6,650,0,650,24.0,0
B014,2022,7,550,0,550,27.0,0
B014,2022,8,550,0,550,26.5,0
B014,2022,9,850,450,1300,21.0,10
B014,2022,10,1300,4800,6100,14.5,95
B014,2022,11,2000,9000,11000,8.5,295
B014,2022,12,2200,10500,12700,6.0,358
B014,2023,1,2400,11500,13900,5.0,388
B014,2023,2,2200,10200,12400,5.8,342
B014,2023,3,2000,7500,9500,9.5,238
B014,2023,4,1700,2500,4200,14.2,98
B014,2023,5,800,300,1100,19.0,18
B014,2023,6,700,0,700,23.8,0
B014,2023,7,600,0,600,26.8,0
B014,2023,8,600,0,600,26.2,0
B014,2023,9,900,500,1400,20.8,12
B014,2023,10,1400,5200,6600,14.2,102
B014,2023,11,2100,9500,11600,8.2,305
B014,2023,12,2300,11000,13300,5.5,372
B015,2021,1,6200,0,6200,9.5,238
B015,2021,2,5800,0,5800,10.2,198
B015,2021,3,5300,0,5300,13.8,128
B015,2021,4,4800,0,4800,18.0,38
B015,2021,5,4500,0,4500,22.0,5
B015,2021,6,4800,0,4800,25.5,0
B015,2021,7,5200,0,5200,28.0,0
B015,2021,8,5100,0,5100,27.5,0
B015,2021,9,4700,0,4700,23.5,0
B015,2021,10,4600,0,4600,18.5,35
B015,2021,11,5500,0,5500,13.0,148
B015,2021,12,6000,0,6000,10.0,218
B015,2022,1,6300,0,6300,9.0,252
B015,2022,2,5900,0,5900,9.8,212
B015,2022,3,5400,0,5400,13.2,138
B015,2022,4,4900,0,4900,17.5,45
B015,2022,5,4600,0,4600,21.5,8
B015,2022,6,4900,0,4900,26.0,0
B015,2022,7,5300,0,5300,28.5,0
B015,2022,8,5200,0,5200,28.0,0
B015,2022,9,4800,0,4800,24.0,0
B015,2022,10,4700,0,4700,18.0,42
B015,2022,11,5600,0,5600,12.5,158
B015,2022,12,6100,0,6100,9.5,228
B015,2023,1,6000,0,6000,9.5,228
B015,2023,2,5600,0,5600,10.5,188
B015,2023,3,5100,0,5100,14.2,118
B015,2023,4,4600,0,4600,18.5,32
B015,2023,5,4300,0,4300,22.5,3
B015,2023,6,4600,0,4600,26.2,0
B015,2023,7,5000,0,5000,28.8,0
B015,2023,8,4900,0,4900,28.2,0
B015,2023,9,4500,0,4500,24.2,0
B015,2023,10,4400,0,4400,18.8,28
B015,2023,11,5300,0,5300,13.2,138
B015,2023,12,5800,0,5800,10.2,208
B017,2021,1,7200,0,7200,6.0,355
B017,2021,2,6800,0,6800,6.8,308
B017,2021,3,6200,0,6200,10.5,215
B017,2021,4,5500,0,5500,14.5,88
B017,2021,5,5200,0,5200,18.8,22
B017,2021,6,5000,0,5000,22.5,0
B017,2021,7,4900,0,4900,25.0,0
B017,2021,8,4900,0,4900,24.5,0
B017,2021,9,5200,0,5200,19.5,15
B017,2021,10,5800,0,5800,14.2,95
B017,2021,11,6700,0,6700,8.5,295
B017,2021,12,7000,0,7000,6.5,342
B017,2022,1,7400,0,7400,5.5,372
B017,2022,2,7000,0,7000,6.2,325
B017,2022,3,6400,0,6400,10.0,228
B017,2022,4,5700,0,5700,14.0,98
B017,2022,5,5400,0,5400,18.2,28
B017,2022,6,5200,0,5200,23.0,0
B017,2022,7,5100,0,5100,25.5,0
B017,2022,8,5100,0,5100,25.0,0
B017,2022,9,5400,0,5400,19.2,18
B017,2022,10,6000,0,6000,13.8,102
B017,2022,11,6900,0,6900,8.0,308
B017,2022,12,7200,0,7200,6.0,358
B017,2023,1,7600,0,7600,5.0,388
B017,2023,2,7200,0,7200,5.8,342
B017,2023,3,6600,0,6600,9.5,242
B017,2023,4,5900,0,5900,13.5,108
B017,2023,5,5600,0,5600,17.8,35
B017,2023,6,5400,0,5400,22.8,0
B017,2023,7,5300,0,5300,25.2,0
B017,2023,8,5300,0,5300,24.8,0
B017,2023,9,5600,0,5600,19.8,12
B017,2023,10,6200,0,6200,13.5,112
B017,2023,11,7100,0,7100,7.8,318
B017,2023,12,7400,0,7400,5.8,368
B018,2021,1,28000,0,28000,9.0,258
B018,2021,2,26500,0,26500,10.0,218
B018,2021,3,24000,0,24000,13.5,142
B018,2021,4,22000,0,22000,18.0,42
B018,2021,5,21500,0,21500,22.5,0
B018,2021,6,22000,0,22000,26.0,0
