ville,region,annee,mois,temperature_moy_c,temperature_min_c,temperature_max_c,dju_chauffage,precipitation_mm,ensoleillement_h
Bordeaux,Nouvelle-Aquitaine,2022,10,13.8,8.8,19.0,95,72,138
Bordeaux,Nouvelle-Aquitaine,2022,11,8.0,3.5,12.8,295,75,72
Bordeaux,Nouvelle-Aquitaine,2022,12,4.8,1.2,8.5,378,70,48
Bordeaux,Nouvelle-Aquitaine,2023,1,4.8,1.2,8.8,405,65,52
Bordeaux,Nouvelle-Aquitaine,2023,2,5.5,2.2,9.2,358,55,72
Bordeaux,Nouvelle-Aquitaine,2023,3,9.0,5.0,13.5,258,60,142
Bordeaux,Nouvelle-Aquitaine,2023,4,13.5,8.8,18.8,105,50,205
Bordeaux,Nouvelle-Aquitaine,2023,5,18.2,12.8,23.8,28,45,235
Bordeaux,Nouvelle-Aquitaine,2023,6,23.2,17.8,28.8,0,40,278
Bordeaux,Nouvelle-Aquitaine,2023,7,26.2,20.8,31.8,0,28,318
Bordeaux,Nouvelle-Aquitaine,2023,8,25.8,20.2,31.2,0,30,295
Bordeaux,Nouvelle-Aquitaine,2023,9,19.8,14.5,25.2,15,52,208
Bordeaux,Nouvelle-Aquitaine,2023,10,13.5,8.5,18.8,100,65,142
Bordeaux,Nouvelle-Aquitaine,2023,11,7.8,3.5,12.5,305,70,78
Bordeaux,Nouvelle-Aquitaine,2023,12,4.5,1.0,8.2,392,65,48
Rennes,Bretagne,2021,1,4.5,1.2,8.0,395,92,48
Rennes,Bretagne,2021,2,5.2,2.0,8.8,348,78,62
Rennes,Bretagne,2021,3,9.5,5.2,14.0,228,85,128
Rennes,Bretagne,2021,4,14.0,9.2,19.0,92,72,182
Rennes,Bretagne,2021,5,18.5,13.0,24.0,22,68,215
Rennes,Bretagne,2021,6,22.5,17.2,28.0,0,62,242
Rennes,Bretagne,2021,7,25.0,19.8,30.5,0,48,285
Rennes,Bretagne,2021,8,24.5,19.2,30.0,0,52,262
Rennes,Bretagne,2021,9,20.0,14.5,25.5,12,72,188
Rennes,Bretagne,2021,10,13.8,8.5,19.2,98,88,128
Rennes,Bretagne,2021,11,7.5,3.5,12.0,322,92,68
Rennes,Bretagne,2021,12,4.8,1.5,8.5,388,88,42
Rennes,Bretagne,2022,1,4.2,0.8,7.8,408,88,45
Rennes,Bretagne,2022,2,5.0,1.8,8.5,362,75,58
Rennes,Bretagne,2022,3,9.0,4.8,13.5,242,82,118
Rennes,Bretagne,2022,4,13.5,8.8,18.5,102,68,175
Rennes,Bretagne,2022,5,18.0,12.5,23.5,28,65,208
Rennes,Bretagne,2022,6,23.0,17.8,28.5,0,58,248
Rennes,Bretagne,2022,7,25.5,20.2,31.0,0,42,292
Rennes,Bretagne,2022,8,25.0,19.8,30.5,0,45,268
Rennes,Bretagne,2022,9,19.5,14.0,25.0,18,75,182
Rennes,Bretagne,2022,10,13.2,8.0,18.5,108,92,118
Rennes,Bretagne,2022,11,7.0,3.0,11.5,338,95,62
Rennes,Bretagne,2022,12,4.5,1.2,8.0,402,90,38
Rennes,Bretagne,2023,1,3.8,0.5,7.5,422,85,42
Rennes,Bretagne,2023,2,4.8,1.5,8.2,375,72,60
Rennes,Bretagne,2023,3,8.5,4.5,13.0,258,80,122
Rennes,Bretagne,2023,4,13.0,8.5,18.0,112,65,182
Rennes,Bretagne,2023,5,17.8,12.2,23.5,32,62,212
Rennes,Bretagne,2023,6,22.8,17.5,28.2,0,58,248
Rennes,Bretagne,2023,7,25.2,20.0,30.8,0,45,288
Rennes,Bretagne,2023,8,24.8,19.5,30.2,0,48,265
Rennes,Bretagne,2023,9,19.2,13.8,24.8,22,72,182
Rennes,Bretagne,2023,10,13.0,8.0,18.2,115,88,122
Rennes,Bretagne,2023,11,6.8,2.8,11.2,348,92,65
Rennes,Bretagne,2023,12,4.2,1.0,7.8,415,88,40
Nice,PACA,2021,1,8.5,4.5,13.0,278,52,148
Nice,PACA,2021,2,9.2,5.2,13.8,238,42,168
Nice,PACA,2021,3,12.5,8.0,17.5,158,48,212
Nice,PACA,2021,4,16.0,11.2,21.0,58,35,248
Nice,PACA,2021,5,20.0,15.0,25.2,5,28,285
Nice,PACA,2021,6,24.0,19.0,29.0,0,15,318
Nice,PACA,2021,7,27.5,22.5,32.5,0,8,352
Nice,PACA,2021,8,27.0,22.0,32.0,0,12,328
Nice,PACA,2021,9,22.5,17.5,27.5,0,38,262
Nice,PACA,2021,10,17.5,12.5,22.5,48,55,198
Nice,PACA,2021,11,12.5,7.8,17.5,158,62,138
Nice,PACA,2021,12,9.0,5.0,13.5,248,58,112
Nice,PACA,2022,1,8.0,4.0,12.5,292,55,142
Nice,PACA,2022,2,8.8,4.8,13.2,252,45,162
Nice,PACA,2022,3,12.0,7.5,17.0,168,50,205
Nice,PACA,2022,4,15.5,10.8,20.5,68,38,242
Nice,PACA,2022,5,19.5,14.5,24.8,8,30,278
Nice,PACA,2022,6,24.5,19.5,29.5,0,12,325
Nice,PACA,2022,7,28.0,23.0,33.0,0,5,358
Nice,PACA,2022,8,27.5,22.5,32.5,0,8,335
Nice,PACA,2022,9,23.0,18.0,28.0,0,35,265
Nice,PACA,2022,10,17.0,12.0,22.0,55,58,192
Nice,PACA,2022,11,12.0,7.2,17.0,168,65,132
Nice,PACA,2022,12,8.5,4.5,13.0,272,60,108
Nice,PACA,2023,1,8.8,4.8,13.2,272,50,148
Nice,PACA,2023,2,9.5,5.5,14.0,228,40,168
Nice,PACA,2023,3,13.0,8.5,17.8,148,45,218
Nice,PACA,2023,4,16.5,11.8,21.5,48,32,252
Nice,PACA,2023,5,20.5,15.5,25.8,3,25,288
Nice,PACA,2023,6,24.8,19.8,29.8,0,10,322
Nice,PACA,2023,7,28.2,23.2,33.2,0,5,358
Nice,PACA,2023,8,27.8,22.8,32.8,0,8,335
Nice,PACA,2023,9,23.2,18.2,28.2,0,32,268
Nice,PACA,2023,10,17.8,12.8,22.8,42,52,202
Nice,PACA,2023,11,12.8,8.0,17.8,148,58,142
Nice,PACA,2023,12,9.2,5.2,13.8,238,55,115
Grenoble,Auvergne-Rhône-Alpes,2021,1,5.5,0.8,10.5,378,58,65
Grenoble,Auvergne-Rhône-Alpes,2021,2,6.2,1.5,11.2,332,48,78
Grenoble,Auvergne-Rhône-Alpes,2021,3,10.0,5.0,15.5,225,52,152
Grenoble,Auvergne-Rhône-Alpes,2021,4,14.5,9.0,20.2,85,45,208
Grenoble,Auvergne-Rhône-Alpes,2021,5,19.0,13.5,24.8,18,42,242
Grenoble,Auvergne-Rhône-Alpes,2021,6,22.8,17.5,28.5,0,38,272
Grenoble,Auvergne-Rhône-Alpes,2021,7,25.2,20.0,31.0,0,28,318
Grenoble,Auvergne-Rhône-Alpes,2021,8,24.8,19.5,30.5,0,32,295
Grenoble,Auvergne-Rhône-Alpes,2021,9,19.8,14.2,25.5,12,55,208
Grenoble,Auvergne-Rhône-Alpes,2021,10,14.0,8.8,19.5,88,68,145
Grenoble,Auvergne-Rhône-Alpes,2021,11,7.8,2.8,12.8,312,72,78
Grenoble,Auvergne-Rhône-Alpes,2021,12,5.0,0.5,9.8,368,65,52
Grenoble,Auvergne-Rhône-Alpes,2022,1,5.0,0.2,10.0,395,62,58
Grenoble,Auvergne-Rhône-Alpes,2022,2,5.8,1.0,10.8,348,52,72
Grenoble,Auvergne-Rhône-Alpes,2022,3,9.5,4.5,15.0,242,55,142
Grenoble,Auvergne-Rhône-Alpes,2022,4,14.0,8.5,19.8,98,48,198
Grenoble,Auvergne-Rhône-Alpes,2022,5,18.5,13.0,24.2,22,45,235
Grenoble,Auvergne-Rhône-Alpes,2022,6,23.2,18.0,29.0,0,35,278
Grenoble,Auvergne-Rhône-Alpes,2022,7,25.8,20.5,31.5,0,25,322
Grenoble,Auvergne-Rhône-Alpes,2022,8,25.2,20.0,31.0,0,28,298
Grenoble,Auvergne-Rhône-Alpes,2022,9,19.5,14.0,25.2,15,58,202
Grenoble,Auvergne-Rhône-Alpes,2022,10,13.5,8.2,19.0,98,72,138
Grenoble,Auvergne-Rhône-Alpes,2022,11,7.2,2.2,12.2,325,75,72
Grenoble,Auvergne-Rhône-Alpes,2022,12,4.5,0.0,9.2,385,68,48
Grenoble,Auvergne-Rhône-Alpes,2023,1,5.2,0.5,10.2,378,58,58
Grenoble,Auvergne-Rhône-Alpes,2023,2,6.0,1.2,11.0,328,50,75
Grenoble,Auvergne-Rhône-Alpes,2023,3,9.8,4.8,15.2,218,52,148
Grenoble,Auvergne-Rhône-Alpes,2023,4,14.8,9.2,20.5,75,42,208
Grenoble,Auvergne-Rhône-Alpes,2023,5,19.5,14.0,25.2,12,40,245
Grenoble,Auvergne-Rhône-Alpes,2023,6,23.5,18.2,29.2,0,32,278
Grenoble,Auvergne-Rhône-Alpes,2023,7,26.0,20.8,32.0,0,22,325
Grenoble,Auvergne-Rhône-Alpes,2023,8,25.5,20.2,31.5,0,25,302
Grenoble,Auvergne-Rhône-Alpes,2023,9,20.2,14.8,26.0,8,50,208
Grenoble,Auvergne-Rhône-Alpes,2023,10,14.5,9.0,20.2,82,65,142
Grenoble,Auvergne-Rhône-Alpes,2023,11,8.0,3.0,13.0,295,68,80
Grenoble,Auvergne-Rhône-Alpes,2023,12,5.0,0.5,9.8,362,62,50
